country,continent,isocode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,Europe,AUT,874.7312789,1012.663974,926.0268695,719.572364,995.8237748,772.0661355,612.4706464,846.8156569,907.8868183,885.7158476,902.8543286,1117.345643,1269.019458,1249.056103,1134.709722,1135.83855,1193.247082,1161.618391,1171.993283,1173.351685
Finland,Europe,FIN,967.2189943,947.4328339,969.5858925,965.8931931,1034.360393,1102.240612,1046.84436,1056.902647,1114.92182,1058.406243,1080.424215,1092.977075,1082.025985,1094.637438,1029.736026,1110.059332,1147.411363,1062.03352,1106.23187,1347.922458
Romania,Europe,ROU,551.0259948,632.5168953,737.5490064,754.9938936,818.2387046,857.0627917,835.1256111,823.5732369,806.767141,774.9448214,795.8747431,801.9002007,849.2236104,891.2254434,912.8010622,981.7052215,1072.455136,1103.333822,1119.763768,1108.137581
Switzerland,Europe,CHE,826.9300283,816.0902158,821.0258781,852.4299329,722.0164368,1099.332449,931.8893723,988.9741938,1149.30169,965.5446285,1011.808333,1034.468473,1046.938327,1122.75682,1027.57822,1095.728947,1066.237623,894.1302148,1170.286972,1072.89442
Portugal,Europe,PRT,646.3940922,745.4962916,719.5821928,657.3692826,762.6503143,744.2368889,768.0140824,768.8582821,746.5084817,731.0854139,812.1722278,858.9247851,828.0796456,840.3470381,852.909269,782.7066418,866.5166754,843.5398122,873.4195208,931.1973253
Czechia,Europe,CZE,560.2263965,633.0506651,641.5285778,622.6632594,604.6831455,656.4660993,631.0135547,678.9607778,621.412751,525.1680463,469.731678,572.4584702,685.226286,637.4253164,998.1837939,708.3671582,806.0065798,804.1731111,1157.594468,842.701369
Norway,Europe,NOR,657.200694,709.938594,692.2479945,683.0016581,708.9383708,743.4161967,721.2665981,771.4217104,714.555655,715.2394977,745.6995295,785.1266543,723.3666752,763.0605046,728.954922,787.5430937,781.5442022,781.3912477,734.1667392,770.6323322
Denmark,Europe,DNK,790.6439887,868.401388,804.5923848,724.0392818,848.8462806,794.5496071,822.4936613,794.2843231,688.3443275,676.2529948,806.4887504,762.2586282,799.8243258,822.179798,748.0282954,731.400626,753.3328152,732.5193588,739.4943277,778.1426163
Tunisia,Africa,TUN,191.7425547,231.7800844,234.173039,119.6613939,262.9766299,189.7958557,200.4041458,253.3957801,317.4853005,288.7271606,301.4742487,415.3742658,421.1362765,429.398177,459.8521431,457.8898297,465.443596,545.9171145,532.8003905,508.1832505
Bulgaria,Europe,BGR,275.0848163,350.399596,340.5686971,397.3146976,364.1907962,430.0139857,420.3825188,364.1899682,444.7178889,409.2759028,395.3579912,359.5197507,375.9412509,418.6068473,376.236244,406.257101,452.3459583,415.0117807,425.7194675,423.0666504
Croatia,Europe,HRV,327.1239955,336.7679964,354.8629948,375.4279963,370.0095474,373.7530593,386.1328524,386.3344636,377.1421853,365.637529,369.8385933,367.1531434,360.3641197,386.5626254,368.4599917,374.6475415,379.5851774,361.1059738,359.9373897,380.505772
Hungary,Europe,HUN,632.9371721,646.9397739,637.4868752,646.0869215,707.8909991,569.9021257,598.0178103,522.2031582,493.9782409,445.2858406,375.7144707,180.0658698,252.2423751,176.7431103,399.6660661,403.5441855,370.6062847,408.2471611,447.5798099,417.72511
Ireland,Europe,IRL,83.1581989,146.2403911,136.1156909,150.9261903,224.7427843,222.8917936,202.6602633,244.3458079,115.1070827,134.4962547,159.9820946,178.633597,214.0962424,195.9287098,256.7339747,293.0603419,318.1957177,291.485318,369.6122205,369.5385384
Lithuania,Europe,LTU,173.2436753,204.3201294,208.3131568,173.0690057,197.2883019,193.4212782,213.4232022,230.0800162,203.7830587,209.7771589,222.6261261,179.7829024,193.2187238,196.958595,223.0606319,212.116883,241.8787768,240.3482076,261.7505379,251.4468992
Slovakia,Europe,SVK,263.3157415,283.7148754,275.2957982,285.4262863,283.1756553,293.2365048,280.9030874,356.3345739,341.0349294,212.7452448,337.0669734,387.7413126,201.0764773,328.086078,498.1010436,267.2702149,225.8649529,152.479588,277.598089,226.9761452
Luxembourg,Europe,LUX,144.1599958,133.2743666,172.2970206,189.8677859,220.6984209,226.8720411,233.14418,250.6164897,238.8282806,221.9069736,232.2843907,214.5667871,212.2320875,241.3897306,255.3654847,222.4513305,223.3254289,211.1620883,255.6338054,223.6205022
Slovenia,Europe,SVN,172.6641424,182.8490011,188.4655142,166.5988968,184.9618615,181.471872,175.6884316,194.9588755,194.1698724,198.2751228,205.0660836,207.7191547,184.991224,184.3236014,187.4280116,187.5940716,192.6647103,189.563829,217.592722,204.0112117
Estonia,Europe,EST,97.3386033,106.9025036,110.8098218,114.3622634,128.524104,144.660116,166.942772,101.1320074,153.8600031,123.4939484,104.7827036,66.6144089,103.9805131,120.0561107,117.3321496,119.0560717,121.3223703,108.6224897,126.4427738,122.5098443
Latvia,Europe,LVA,161.7948373,149.7699398,144.9972689,158.5701566,154.9939176,144.2222839,180.787614,130.8501559,115.1388518,88.1131531,98.5950593,101.030448,101.1865965,94.9729221,110.1746839,106.217864,111.0115727,117.5179724,97.9691861,113.6931943
Cyprus,Asia,CYP,66.7969972,52.8910969,51.3787973,53.0959969,59.8123959,69.6475053,55.4956657,69.2840491,77.2930951,75.4378673,73.9056481,80.7935252,85.3983201,89.3106288,80.7359171,92.7164588,93.0903748,97.2743616,129.8045918,115.4245736
Malta,Europe,MLT,8.8105016,9.0843982,8.8342425,10.562217,15.5230233,16.2784546,28.8119257,15.906515,22.7471165,14.1236398,12.027799,15.5570067,20.9978384,21.5860087,24.6119162,15.3858795,17.6307395,16.374812,18.973247,23.1159464
