index,continent,country,isocode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
128,Asia,Iraq,IRQ,192.2,203.3,244.9,255,300.7,348,347.2,353.4,315,272.8,213,195.3,3240.8
51,Africa,Libya,LBY,206,214,237,250,315,312,376,352,271,244,212,198,3187
84,Africa,Zambia,ZMB,213.9,196,251.1,273,303.8,288,310,319.3,297,279,228,207.7,3166.8
44,Africa,Tunisia,TUN,220.1,215.6,251.1,267,313.1,321,372,353.4,279,260.4,228,210.8,3291.5
101,Africa,Uganda,UGA,233,204,205,180,192,186,198,195,195,201,198,211,2398
57,Africa,Angola,AGO,219,208,213,199,233,223,175,150,145,164,199,212,2341
87,Africa,Malawi,MWI,176.7,170.8,207.7,222,254.2,264,285.2,306.9,306,319.3,273,213.9,2999.7
313,South America,Ecuador,ECU,197,140,122,136,164,189,249,256,196,177,197,215,2238
336,Oceania,Papua New Guinea,PNG,182,158,184,200,211,200,203,222,213,231,243,216,2463
126,Asia,Indonesia,IDN,189.1,180.8,238.7,255,260.4,255,282.1,294.5,300.7,279,231,217,2983.3
96,Africa,Mozambique,MOZ,248,226,248,240,248,240,248,248,248,217,210,217,2838
335,Oceania,New Zealand,NZL,240.3,205,194.7,153.8,126,102.3,111.4,137.2,163.2,191.1,210.8,222.9,2058.7
86,Africa,Zimbabwe,ZWE,244.9,212.8,251.1,252,279,267,288.3,300.7,288,272.8,237,226.3,3119.9
228,North America,Mexico,MEX,240,234,268,232,225,183,176,176,157,194,232,236,2555
105,Africa,Guinea-Bissau,GNB,248,226,279,270,248,210,186,155,180,217,240,248,2707
286,North America,Nicaragua,NIC,263.5,254.2,291.4,276,229.4,186,151.9,195.3,210,223.2,231,248,2759.9
47,Africa,Morocco,MAR,251.8,244.9,297.2,315.2,332.7,335,317.7,293.2,266.4,271.3,242.9,248.1,3416.4
303,South America,Colombia,COL,283,245,241,211,187,194,217,208,166,167,191,252,2561
124,Asia,India,IND,269.5,257.6,274.3,283.7,296.2,148.6,73.4,75.9,165.1,240.2,245.8,253.2,2583.5
160,Asia,United Arab Emirates,ARE,254.2,229.6,254.2,294,344.1,342,322.4,316.2,309,303.8,285,254.2,3508.7
34,Africa,Senegal,SEN,267,260,325,332,324,276,226,188,221,267,271,257,3214
118,Asia,China,CHN,250.9,226.7,246.1,248.9,276.6,257.3,227.4,219.6,229,281.7,267.4,258.6,2990.2
104,Africa,Guinea,GIN,262,236,249,220,234,216,169,159,191,221,241,260,2658
155,Asia,Thailand,THA,272.5,249.9,269,256.7,216.4,178,171.8,160.3,154.9,198.1,234.2,262,2623.8
299,South America,Brazil,BRA,225.2,182.3,150,157.1,208.4,238.7,268.3,295.9,281.6,291.4,282.2,262.3,2843.4
11,Africa,Ghana,GHA,265.6,235.7,249.6,229,248,212,171.5,139,161,260.9,283,263.5,2718.7
147,Asia,Saudi Arabia,SAU,266.6,265.6,294.5,282,288.3,276,232.5,238.7,273,291.4,273,266.6,3248.2
72,Africa,Mauritania,MRT,267,250,302,311,320,284,271,265,266,263,268,267,3333
137,Asia,Oman,OMN,268.6,244.8,278.3,292.5,347.4,325.7,277.7,278.6,303.9,316.9,291.9,267,3493.3
36,Africa,Somalia,SOM,290,283,293,249,287,261,216,238,262,230,246,268,3124
138,Asia,Pakistan,PAK,270.7,249.4,271.6,277.4,299.1,231.8,155,147.7,218.8,283.5,273.3,272,2950.3
42,Africa,Algeria,DZA,297.6,275.5,322.4,327,328.6,306,356.5,331.7,288,310,285,272.8,3686
37,Africa,Djibouti,DJI,254,249,279,279,310,237,236,276,282,310,291,276,3279
115,Asia,Bangladesh,BGD,279,226,217,180,155,90,62,62,90,186,240,279,2066
32,Africa,Gambia,GMB,279,282,310,300,310,270,186,186,180,248,240,279,3070
7,Africa,Benin,BEN,279,257.6,260.4,255,272.8,252,223.2,195.3,213,275.9,282,279,3045.2
9,Africa,Togo,TGO,285,254,270,241,261,219,168,131,161,273,284,279,2826
29,Africa,Niger,NER,297.6,263.2,269.7,252,279,267,257.3,235.6,235.6,282.6,282,279,3203.2
27,Africa,Burkina Faso,BFA,287,263,264,256,277,264,240,223,217,273,288,284,3136
80,Africa,Botswana,BWA,280.6,261.5,264.4,260.5,284.2,260,292.4,313.6,308.4,295.4,265.5,285.2,3371
293,South America,Argentina,ARG,297.6,257.6,235.6,219,195.3,168,182.9,229.4,225,282.1,294,285.2,2871.7
321,South America,Uruguay,URY,294.9,230.6,222.8,179.6,164.2,129.7,139.7,164.4,182.3,239,248.9,285.3,2481.4
38,Africa,Mali,MLI,292,276,292,263,274,266,254,223,242,283,287,287,3239
318,South America,Peru,PER,223.2,189.3,244.9,294,288.3,291,291.4,310,297,303.8,309,291.4,3333.3
14,Africa,Cameroon,CMR,286.4,258.7,235.4,195.5,195.4,165.7,128,127.8,139,184,264.1,291.4,2471.4
110,Africa,Egypt,EGY,294.5,279.7,316.2,315,356.5,366,384.4,375.1,336,328.6,300,291.4,3943.4
289,North America,El Salvador,SLV,301,277,294,243,220,174,239,257,180,211,267,294,2957
317,South America,Paraguay,PRY,276,169,246,254,228,205,165,195,223,204,242,295,2803
98,Africa,Central African Republic,CAF,289.6,275,270.6,248.1,255.7,216.9,190.7,186.5,210,267.2,290.3,297.4,2998
26,Africa,Eritrea,ERI,304.7,289.1,300.7,300.5,298.5,271.5,217.9,220.1,260.4,301,292.5,299.1,3361
64,Africa,Ethiopia,ETH,294.2,276.7,279.9,277.2,303.2,230.1,165.5,166.5,248.7,291.1,292.8,303.5,3129.4
59,Africa,South Sudan,SSD,300.7,269.7,260.4,228,254.2,237,176.7,192.2,210,229.4,267,303.8,2929.1
95,Africa,Madagascar,MDG,305,285,296,302,306,277,291,298,307,324,313,306,3610
56,Africa,Kenya,KEN,319,280,282,279,307,297,279,310,321,316,282,310,3582
21,Africa,Nigeria,NGA,307,274,260,220,208,201,151,127,171,242,294,313,2768
31,Africa,Chad,TCD,316.2,291.2,300.7,300,313.1,300,254.2,226.3,261,306.9,312,319.3,3500.9
25,Africa,Sudan,SDN,341,311,310,330,300,300,279,279,300,310,330,341,3737.1
111,Africa,Namibia,NAM,353,300,312,306,304,287,305,323,319,343,348,348,3870
330,Oceania,Australia,AUS,356.5,314.9,295.5,246,211.7,180.6,188.4,219.8,232.4,299.8,320.4,359.4,3229.5
312,South America,Chile,CHL,353.4,305.1,319.3,312,306.9,297,310,316.2,321,356.5,363,365.8,3926.2
77,Africa,South Africa,ZAF,352.9,298.7,297.5,283.5,290.5,270.3,289.8,307.3,300.2,328.9,345.2,367,3731.8
